menu,producto,cantidad,unidad,notas
Sangría Española,Fruta Mixta,100,g,como naranja o limón en rodajas se incorporan para dar sabor y presentación.
Flan de Coco,Leche Entera,250,ml,base principal del flan se utiliza para formar la mezcla líquida.
Flan de Coco,Crema de leche,100,ml,se añade para dar una textura más cremosa y suave al flan.
Flan de Coco,Huevo,2,und,se utiliza para dar consistencia y permitir que el flan cuaje al cocinarse.
Flan de Coco,Azúcar,50,g,se utiliza tanto para la mezcla como para preparar el caramelo.
Flan de Coco,Coco rallado,80,g,ingrediente principal que aporta el sabor característico del postre.
Crema Catalana,Leche Entera,250,ml,base principal de la crema se calienta para infusionar sabores.
Crema Catalana,Crema de leche,100,ml,aporta una textura más suave y cremosa.
Crema Catalana,Huevo,2,und,se utilizan principalmente las yemas para espesar la mezcla y darle consistencia.
Crema Catalana,Azúcar,40,g,se usa para endulzar la crema y también para formar la capa caramelizada en la superficie.
Crema Catalana,Maicena,10,g,se disuelve en un poco de leche fría y se utiliza para espesar la preparación.
Crema Catalana,Canela,2,g,se utiliza para aromatizar la leche durante la cocción.
Churros con Chocolate,Harina de trigo,150,g,base de la masa se mezcla con agua para formar la consistencia de los churros.
Churros con Chocolate,Sal Marina,2,g,se añade a la masa para equilibrar el sabor.
Churros con Chocolate,Aceite de oliva,500,ml,se utiliza para freír los churros hasta que queden dorados y crujientes.
Churros con Chocolate,Azúcar,30,g,se espolvorea sobre los churros después de fritos.
Churros con Chocolate,Leche Entera,250,ml,base del chocolate caliente.
Churros con Chocolate,Chocolate,100,g,se derrite en la leche para formar la bebida espesa.
Churros con Chocolate,Azúcar,20,g,se añade para endulzar el chocolate al gusto.
Churros con Chocolate,Maicena,10,g,se utiliza para espesar el chocolate y darle textura cremosa.
Tabla de Tapas,Jamón Serrano,100,g,cortado en lonjas finas se sirve directamente como parte principal de la tabla.
Tabla de Tapas,Queso,120,g,cortado en cubos o láminas se utiliza para acompañar el jamón.
Tabla de Tapas,Aceitunas,80,g,se sirven enteras como complemento salado.
Tabla de Tapas,Pan Baguette,150,g,cortado en rebanadas se sirve como acompañamiento base.
Gambas al Ajillo,Langostinos,200,g,limpios y pelados son el ingrediente principal y se cocinan rápidamente.
Gambas al Ajillo,Ajo,15,g,picado en láminas se sofríe para aromatizar el aceite.
Gambas al Ajillo,Aceite de oliva,50,ml,base de la cocción donde se sofríen todos los ingredientes.
Gambas al Ajillo,Sal Marina,3,g,se añade al gusto para resaltar sabores.
Gambas al Ajillo,Ají,5,g,picado se incorpora para dar un toque picante.
Patatas Bravas,Papa,300,g,cortada en cubos medianos se fríe hasta quedar dorada y crujiente.
Patatas Bravas,Aceite de oliva,300,ml,se utiliza para freír las papas.
Patatas Bravas,Tomate,100,g,triturado base de la salsa brava.
Patatas Bravas,Ajo,10,g,picado se usa para dar sabor a la salsa.
Patatas Bravas,Sal Marina,5,g,se añade al gusto.
Patatas Bravas,Ají,5,g,aporta el picante característico de la salsa brava.
Patatas Bravas,Mayonesa,50,g,se utiliza para preparar el alioli.
